block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
1,Tg Pagar Plaza,19 to 21,59,Improved,1977,54.33,476000,Nov 2021
28,Kelantan Rd,16 to 18,74,Improved,1977,55.17,438000,Oct 2021
30,Kelantan Rd,07 to 09,76,Improved,1981,58.83,500000,Oct 2021
269B,Queen St,04 to 06,67,New Generation,1984,61.67,460000,Oct 2021
4,Sago Lane,04 to 06,137,Improved,1974,51.75,580000,Oct 2021
8,Selegie Rd,10 to 12,56,Standard,1974,51.33,365000,Oct 2021
1,Tg Pagar Plaza,07 to 09,59,Improved,1977,54.5,450000,Oct 2021
5,Tg Pagar Plaza,07 to 09,59,Improved,1977,54.42,465000,Oct 2021
538,Upp Cross St,16 to 18,68,Improved,1978,56.08,530000,Oct 2021
28,Kelantan Rd,13 to 15,74,Improved,1977,55.17,430000,Sep 2021
271,Queen St,19 to 21,68,Improved,1979,56.58,500000,Sep 2021
271,Queen St,13 to 15,68,Improved,1979,56.58,535000,Sep 2021
8,Selegie Rd,04 to 06,56,Standard,1974,51.33,310000,Sep 2021
8,Selegie Rd,04 to 06,58,Standard,1974,51.42,400000,Sep 2021
9,Selegie Rd,13 to 15,58,Standard,1974,51.42,360000,Sep 2021
335A,Smith St,04 to 06,60,Improved,1984,61.58,350000,Sep 2021
2,Tg Pagar Plaza,16 to 18,59,Improved,1977,54.5,380000,Sep 2021
5,Tg Pagar Plaza,04 to 06,70,Improved,1977,54.5,445000,Sep 2021
264,Waterloo St,13 to 15,60,Improved,1986,64,420000,Sep 2021
271,Queen St,04 to 06,60,Improved,1979,56.67,445000,Aug 2021
640,Rowell Rd,01 to 03,74,Model A,1984,61.92,355000,Aug 2021
9,Selegie Rd,04 to 06,58,Standard,1974,51.42,330000,Aug 2021
9,Selegie Rd,10 to 12,56,Standard,1974,51.5,363000,Aug 2021
1,Tg Pagar Plaza,10 to 12,70,Improved,1977,54.67,513000,Aug 2021
2,Tg Pagar Plaza,13 to 15,59,Improved,1977,54.58,440000,Aug 2021
633,Veerasamy Rd,04 to 06,73,Model A,1985,63,420000,Aug 2021
668,Chander Rd,10 to 12,73,Model A,1984,62.33,415000,Jul 2021
28,Kelantan Rd,16 to 18,65,Improved,1977,55.33,391000,Jul 2021
269B,Queen St,13 to 15,67,New Generation,1984,62,459888,Jul 2021
4,Sago Lane,04 to 06,67,Improved,1974,52,400000,Jul 2021
335A,Smith St,07 to 09,60,Improved,1984,61.75,418000,Jul 2021
3,Tg Pagar Plaza,10 to 12,59,Improved,1977,54.67,465000,Jul 2021
34,Upp Cross St,13 to 15,65,Improved,1975,52.92,400000,Jul 2021
535,Upp Cross St,13 to 15,60,Improved,1980,58.08,432000,Jul 2021
636,Veerasamy Rd,07 to 09,73,Model A,1985,62.75,460888,Jul 2021
263,Waterloo St,19 to 21,60,Improved,1978,56.08,456000,Jul 2021
263,Waterloo St,13 to 15,68,Improved,1978,56.08,475000,Jul 2021
271,Queen St,13 to 15,68,Improved,1979,56.83,470000,Jun 2021
640,Rowell Rd,10 to 12,74,Model A,1984,62.08,385000,Jun 2021
4,Sago Lane,13 to 15,57,Improved,1974,52.17,353000,Jun 2021
4,Sago Lane,19 to 21,67,Improved,1974,52.25,508000,Jun 2021
1,Tg Pagar Plaza,19 to 21,59,Improved,1977,54.75,500000,Jun 2021
34,Upp Cross St,04 to 06,65,Improved,1975,53.08,380000,Jun 2021
533,Upp Cross St,10 to 12,60,Improved,1980,58.25,418000,Jun 2021
264,Waterloo St,04 to 06,60,Improved,1986,64.33,452000,Jun 2021
34,Upp Cross St,19 to 21,65,Improved,1975,53.17,400000,May 2021
538,Upp Cross St,07 to 09,68,Improved,1978,56.42,458000,May 2021
640,Rowell Rd,04 to 06,74,Model A,1984,62.17,395000,Apr 2021
4,Sago Lane,07 to 09,67,Improved,1974,52.33,400000,Apr 2021
10,Selegie Rd,10 to 12,56,Standard,1974,51.75,337000,Apr 2021
34,Upp Cross St,19 to 21,65,Improved,1975,53.17,390000,Apr 2021
8,Jln Kukoh,10 to 12,76,Improved,1971,49.33,390000,Mar 2021
30,Kelantan Rd,07 to 09,65,Improved,1981,59.42,375000,Mar 2021
271,Queen St,16 to 18,60,Improved,1979,57.08,440000,Mar 2021
271,Queen St,13 to 15,68,Improved,1979,57.08,480888,Mar 2021
4,Sago Lane,07 to 09,67,Improved,1974,52.33,390000,Mar 2021
8,Selegie Rd,04 to 06,56,Standard,1974,51.92,318888,Mar 2021
4,Tg Pagar Plaza,16 to 18,59,Improved,1977,54.92,475000,Mar 2021
532,Upp Cross St,16 to 18,68,Improved,1980,58.5,510000,Mar 2021
633,Veerasamy Rd,01 to 03,72,Model A,1985,63.33,375000,Mar 2021
263,Waterloo St,07 to 09,68,Improved,1978,56.42,466000,Mar 2021
264,Waterloo St,13 to 15,68,Improved,1986,64.58,507000,Mar 2021
28,Kelantan Rd,10 to 12,65,Improved,1977,55.83,352000,Feb 2021
641,Rowell Rd,04 to 06,89,Model A,1983,61.67,446000,Feb 2021
5,Tg Pagar Plaza,19 to 21,59,Improved,1977,55,443000,Feb 2021
5,Tg Pagar Plaza,16 to 18,59,Improved,1977,55,470000,Feb 2021
536,Upp Cross St,10 to 12,60,Improved,1981,59.25,420000,Feb 2021
29,Kelantan Rd,13 to 15,74,Improved,1977,55.92,390000,Jan 2021
32,New Mkt Rd,04 to 06,66,Standard,1983,61.25,390000,Jan 2021
4,Sago Lane,16 to 18,67,Improved,1974,52.58,405000,Jan 2021
10,Selegie Rd,07 to 09,56,Standard,1974,52.08,317000,Jan 2021
34,Upp Cross St,10 to 12,65,Improved,1975,53.5,375000,Jan 2021
535,Upp Cross St,10 to 12,60,Improved,1980,58.67,426000,Jan 2021
633,Veerasamy Rd,04 to 06,72,Model A,1985,63.5,378000,Jan 2021
636,Veerasamy Rd,04 to 06,72,Model A,1985,63.25,420000,Jan 2021
263,Waterloo St,16 to 18,60,Improved,1978,56.5,420000,Jan 2021
664,Buffalo Rd,04 to 06,60,Improved,1982,60.5,365000,Dec 2020
8,Jln Kukoh,13 to 15,76,Improved,1971,49.58,388000,Dec 2020
640,Rowell Rd,07 to 09,74,Model A,1984,62.58,411000,Dec 2020
4,Sago Lane,04 to 06,137,Improved,1974,52.58,530888,Dec 2020
2,Tg Pagar Plaza,16 to 18,59,Improved,1977,55.17,453000,Dec 2020
536,Upp Cross St,07 to 09,60,Improved,1981,59.5,340000,Dec 2020
264,Waterloo St,10 to 12,68,Improved,1986,64.83,440800,Dec 2020
28,Kelantan Rd,10 to 12,65,Improved,1977,56,368000,Nov 2020
269B,Queen St,04 to 06,68,New Generation,1984,62.67,408000,Nov 2020
533,Upp Cross St,10 to 12,68,Improved,1980,58.83,545000,Nov 2020
538,Upp Cross St,16 to 18,68,Improved,1978,57,475000,Nov 2020
