block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
309,Shunfu Rd,13 to 15,67,New Generation,1984,62.08,468000,Nov 2021
115,Bishan St 12,07 to 09,64,Simplified,1986,63.33,420000,Oct 2021
185,Bishan St 13,07 to 09,64,Simplified,1988,65.58,410000,Oct 2021
193,Bishan St 13,04 to 06,64,Simplified,1987,65.25,425000,Oct 2021
313,Shunfu Rd,01 to 03,67,New Generation,1985,62.75,390000,Oct 2021
313,Shunfu Rd,04 to 06,67,New Generation,1985,62.75,488888,Oct 2021
23,Sin Ming Rd,04 to 06,65,Improved,1973,51,283000,Oct 2021
105,Bishan St 12,04 to 06,64,Simplified,1985,63.42,400000,Sep 2021
148,Bishan St 11,07 to 09,64,Simplified,1987,65,360000,Aug 2021
189,Bishan St 13,04 to 06,64,Simplified,1988,65.92,443000,Aug 2021
307,Shunfu Rd,13 to 15,67,New Generation,1985,62.75,418000,Aug 2021
308,Shunfu Rd,10 to 12,67,New Generation,1984,62.42,473800,Aug 2021
406,Sin Ming Ave,07 to 09,64,Simplified,1987,64.75,395000,Aug 2021
309,Shunfu Rd,01 to 03,67,New Generation,1984,62.42,400000,Jul 2021
407,Sin Ming Ave,10 to 12,64,Simplified,1986,64.17,396000,Jul 2021
23,Sin Ming Rd,07 to 09,65,Improved,1973,51.33,305000,Jul 2021
22,Sin Ming Rd,04 to 06,68,Improved,1973,51.42,276000,Jun 2021
22,Sin Ming Rd,10 to 12,68,Improved,1973,51.42,280000,Jun 2021
110,Bishan St 12,07 to 09,64,Simplified,1986,63.83,435000,May 2021
171,Bishan St 13,01 to 03,64,Simplified,1988,65.75,405000,May 2021
171,Bishan St 13,10 to 12,64,Simplified,1988,65.75,420000,May 2021
184,Bishan St 13,10 to 12,65,Simplified,1988,65.83,430000,May 2021
185,Bishan St 13,07 to 09,64,Simplified,1988,65.92,400000,May 2021
308,Shunfu Rd,10 to 12,67,New Generation,1984,62.58,457000,May 2021
403,Sin Ming Ave,10 to 12,64,Simplified,1986,64.25,397500,May 2021
105,Bishan St 12,07 to 09,64,Simplified,1985,63.67,415000,Apr 2021
132,Bishan St 12,01 to 03,64,Simplified,1987,64.83,350000,Apr 2021
171,Bishan St 13,10 to 12,64,Simplified,1988,65.75,436000,Apr 2021
22,Sin Ming Rd,01 to 03,68,Improved,1973,51.58,260000,Apr 2021
22,Sin Ming Rd,10 to 12,68,Improved,1973,51.5,265000,Apr 2021
105,Bishan St 12,04 to 06,64,Simplified,1985,63.75,395000,Mar 2021
171,Bishan St 13,04 to 06,64,Simplified,1988,65.83,370000,Mar 2021
185,Bishan St 13,04 to 06,64,Simplified,1988,66.17,360000,Mar 2021
308,Shunfu Rd,13 to 15,67,New Generation,1984,62.75,473000,Mar 2021
22,Sin Ming Rd,04 to 06,68,Improved,1973,51.67,270888,Mar 2021
110,Bishan St 12,04 to 06,64,Simplified,1986,64.08,385000,Feb 2021
116,Bishan St 12,07 to 09,64,Simplified,1985,63.75,420000,Feb 2021
133,Bishan St 12,01 to 03,64,Simplified,1987,65.08,365000,Feb 2021
313,Shunfu Rd,07 to 09,67,New Generation,1985,63.33,460000,Feb 2021
403,Sin Ming Ave,07 to 09,64,Simplified,1986,64.58,356000,Feb 2021
406,Sin Ming Ave,04 to 06,64,Simplified,1987,65.25,353000,Feb 2021
108,Bishan St 12,04 to 06,64,Simplified,1985,63.83,345000,Jan 2021
115,Bishan St 12,04 to 06,64,Simplified,1986,64.08,400000,Jan 2021
176,Bishan St 13,07 to 09,64,Simplified,1988,66.33,385000,Jan 2021
305,Shunfu Rd,10 to 12,67,New Generation,1985,63,407500,Jan 2021
407,Sin Ming Ave,10 to 12,64,Simplified,1986,64.58,375000,Jan 2021
