block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
245,Jurong East St 24,01 to 03,68,New Generation,1982,59.92,330000,Oct 2021
253,Jurong East St 24,01 to 03,67,New Generation,1985,62.75,320000,Oct 2021
264,Jurong East St 24,01 to 03,68,New Generation,1983,60.5,315000,Oct 2021
301,Jurong East St 32,01 to 03,68,New Generation,1983,60.58,300000,Oct 2021
301,Jurong East St 32,13 to 15,68,New Generation,1983,60.58,350000,Oct 2021
304,Jurong East St 32,07 to 09,67,New Generation,1983,61,300000,Oct 2021
306,Jurong East St 32,07 to 09,89,New Generation,1983,61,390000,Oct 2021
371,Jurong East St 32,04 to 06,64,Model A,2014,91.33,379000,Oct 2021
20,Teban Gdns Rd,22 to 24,72,Model A,2013,91,400000,Oct 2021
23,Teban Gdns Rd,37 to 39,72,Model A,2013,91,450000,Oct 2021
33,Teban Gdns Rd,10 to 12,74,Improved,1977,54.75,300000,Oct 2021
39,Teban Gdns Rd,04 to 06,67,Improved,1966,44.08,253000,Oct 2021
55,Teban Gdns Rd,25 to 27,67,Model A,2016,94.17,402000,Oct 2021
55,Teban Gdns Rd,34 to 36,67,Model A,2016,94.17,420000,Oct 2021
341,Jurong East Ave 1,10 to 12,74,Model A,1983,60.67,355000,Sep 2021
101,Jurong East St 13,01 to 03,68,New Generation,1983,60.58,339000,Sep 2021
210,Jurong East St 21,04 to 06,67,New Generation,1983,60.75,348000,Sep 2021
232,Jurong East St 21,01 to 03,67,New Generation,1982,59.5,300000,Sep 2021
253,Jurong East St 24,01 to 03,67,New Generation,1985,62.83,310000,Sep 2021
261,Jurong East St 24,04 to 06,84,New Generation,1983,60.58,328000,Sep 2021
264,Jurong East St 24,01 to 03,84,New Generation,1983,60.67,330000,Sep 2021
321,Jurong East St 31,04 to 06,74,Model A,1984,62.25,325888,Sep 2021
411,Pandan Gdns,10 to 12,72,Improved,1979,56.67,290000,Sep 2021
411,Pandan Gdns,07 to 09,72,Improved,1979,56.75,315000,Sep 2021
211,Jurong East St 21,07 to 09,67,New Generation,1983,60.75,330000,Aug 2021
214,Jurong East St 21,01 to 03,68,New Generation,1983,60.67,295000,Aug 2021
229,Jurong East St 21,04 to 06,67,New Generation,1981,58.92,327500,Aug 2021
231,Jurong East St 21,04 to 06,67,New Generation,1981,58.83,338000,Aug 2021
231,Jurong East St 21,10 to 12,67,New Generation,1981,58.92,350000,Aug 2021
241,Jurong East St 24,07 to 09,68,New Generation,1983,60.58,330000,Aug 2021
252,Jurong East St 24,04 to 06,67,New Generation,1985,62.92,295000,Aug 2021
372,Jurong East St 32,13 to 15,64,Model A,2014,91.58,390000,Aug 2021
410,Pandan Gdns,10 to 12,86,Improved,1979,56.83,320000,Aug 2021
348,Jurong East Ave 1,01 to 03,87,Model A,1986,63.75,390000,Jul 2021
205,Jurong East St 21,04 to 06,67,New Generation,1983,60.92,350000,Jul 2021
214,Jurong East St 21,01 to 03,68,New Generation,1983,60.75,290000,Jul 2021
215,Jurong East St 21,04 to 06,84,New Generation,1984,62.33,375000,Jul 2021
253,Jurong East St 24,04 to 06,71,New Generation,1985,63,320000,Jul 2021
302,Jurong East St 32,01 to 03,67,New Generation,1983,61.5,305000,Jul 2021
410,Pandan Gdns,07 to 09,72,Improved,1979,56.92,275000,Jul 2021
412,Pandan Gdns,07 to 09,73,Improved,1979,56.92,265000,Jul 2021
20,Teban Gdns Rd,22 to 24,72,Model A,2013,91.17,376000,Jul 2021
36,Teban Gdns Rd,01 to 03,77,Improved,1977,55,270000,Jul 2021
55,Teban Gdns Rd,07 to 09,67,Model A,2016,94.42,370000,Jul 2021
101,Jurong East St 13,10 to 12,68,New Generation,1983,60.83,330000,Jun 2021
110,Jurong East St 13,01 to 03,68,New Generation,1982,59.83,330000,Jun 2021
115,Jurong East St 13,04 to 06,67,New Generation,1981,59.08,298000,Jun 2021
202,Jurong East St 21,01 to 03,68,New Generation,1989,66.92,329000,Jun 2021
233,Jurong East St 21,04 to 06,67,New Generation,1982,59.83,309000,Jun 2021
253,Jurong East St 24,01 to 03,67,New Generation,1985,63.08,288000,Jun 2021
302,Jurong East St 32,07 to 09,68,New Generation,1983,61.58,330000,Jun 2021
35,Teban Gdns Rd,07 to 09,74,Improved,1977,55.08,280000,Jun 2021
54,Teban Gdns Rd,04 to 06,64,Simplified,1986,64.33,290000,Jun 2021
55,Teban Gdns Rd,16 to 18,67,Model A,2016,94.5,380000,Jun 2021
329,Jurong East Ave 1,04 to 06,74,Model A,1983,61.17,291444,May 2021
110,Jurong East St 13,04 to 06,68,New Generation,1982,59.83,325000,May 2021
211,Jurong East St 21,07 to 09,67,New Generation,1983,61,315000,May 2021
232,Jurong East St 21,10 to 12,67,New Generation,1982,59.83,315000,May 2021
247,Jurong East St 24,10 to 12,68,New Generation,1983,61.17,351000,May 2021
313,Jurong East St 32,01 to 03,74,Model A,1984,62,331000,May 2021
34,Teban Gdns Rd,04 to 06,74,Improved,1977,55.08,270000,May 2021
55,Teban Gdns Rd,25 to 27,67,Model A,2016,94.5,390000,May 2021
57,Teban Gdns Rd,25 to 27,67,Model A,2016,94.58,370000,May 2021
243,Jurong East St 24,01 to 03,67,New Generation,1983,60.83,335000,Apr 2021
245,Jurong East St 24,07 to 09,67,New Generation,1982,60.33,310000,Apr 2021
247,Jurong East St 24,04 to 06,68,New Generation,1983,61.25,310000,Apr 2021
250,Jurong East St 24,10 to 12,67,New Generation,1986,64.17,275000,Apr 2021
301,Jurong East St 32,01 to 03,84,New Generation,1983,61.08,368000,Apr 2021
313,Jurong East St 32,07 to 09,74,Model A,1984,62.08,328000,Apr 2021
371,Jurong East St 32,04 to 06,64,Model A,2014,91.92,370000,Apr 2021
372,Jurong East St 32,04 to 06,64,Model A,2014,91.92,350000,Apr 2021
411,Pandan Gdns,13 to 15,72,Improved,1979,57.08,277000,Apr 2021
55,Teban Gdns Rd,22 to 24,67,Model A,2016,94.58,378000,Apr 2021
57,Teban Gdns Rd,04 to 06,67,Model A,2016,94.67,350000,Apr 2021
102,Jurong East St 13,10 to 12,68,New Generation,1982,60.17,360000,Mar 2021
215A,Jurong East St 21,01 to 03,72,New Generation,1984,62.75,339000,Mar 2021
229,Jurong East St 21,04 to 06,82,New Generation,1981,59.25,340000,Mar 2021
242,Jurong East St 24,01 to 03,67,New Generation,1982,60.5,319000,Mar 2021
242,Jurong East St 24,04 to 06,84,New Generation,1982,60.5,365000,Mar 2021
252,Jurong East St 24,01 to 03,67,New Generation,1985,63.25,285000,Mar 2021
261,Jurong East St 24,07 to 09,67,New Generation,1983,61,310000,Mar 2021
308,Jurong East St 32,07 to 09,79,Model A,1984,62.17,320000,Mar 2021
411,Pandan Gdns,01 to 03,72,Improved,1979,57.17,245000,Mar 2021
20,Teban Gdns Rd,19 to 21,72,Model A,2013,91.5,365000,Mar 2021
34,Teban Gdns Rd,01 to 03,74,Improved,1977,55.33,260000,Mar 2021
35,Teban Gdns Rd,13 to 15,74,Improved,1977,55.25,280000,Mar 2021
40,Teban Gdns Rd,01 to 03,77,Improved,1978,56.08,220000,Mar 2021
43,Teban Gdns Rd,04 to 06,68,New Generation,1985,63.5,261000,Mar 2021
55,Teban Gdns Rd,37 to 39,67,Model A,2016,94.67,400000,Mar 2021
57,Teban Gdns Rd,16 to 18,67,Model A,2016,94.75,385000,Mar 2021
110,Jurong East St 13,16 to 18,83,New Generation,1982,60.17,388888,Feb 2021
210,Jurong East St 21,01 to 03,67,New Generation,1983,61.42,290000,Feb 2021
235,Jurong East St 21,01 to 03,68,New Generation,1982,60,280000,Feb 2021
245,Jurong East St 24,07 to 09,67,New Generation,1982,60.58,300000,Feb 2021
252,Jurong East St 24,01 to 03,67,New Generation,1985,63.42,272000,Feb 2021
252,Jurong East St 24,04 to 06,67,New Generation,1985,63.33,290000,Feb 2021
321,Jurong East St 31,01 to 03,74,Model A,1984,62.83,320000,Feb 2021
303,Jurong East St 32,01 to 03,68,New Generation,1983,61.58,285000,Feb 2021
306,Jurong East St 32,10 to 12,68,New Generation,1983,61.67,305000,Feb 2021
55,Teban Gdns Rd,04 to 06,67,Model A,2016,94.83,350000,Feb 2021
55,Teban Gdns Rd,19 to 21,67,Model A,2016,94.83,370000,Feb 2021
55,Teban Gdns Rd,16 to 18,67,Model A,2016,94.83,375000,Feb 2021
55,Teban Gdns Rd,22 to 24,67,Model A,2016,94.83,390000,Feb 2021
55,Teban Gdns Rd,31 to 33,67,Model A,2016,94.75,395000,Feb 2021
57,Teban Gdns Rd,16 to 18,67,Model A,2016,94.75,378000,Feb 2021
57,Teban Gdns Rd,19 to 21,67,Model A,2016,94.83,380000,Feb 2021
225A,Jurong East St 21,07 to 09,67,New Generation,1984,62.83,300000,Jan 2021
229,Jurong East St 21,04 to 06,67,New Generation,1981,59.5,295000,Jan 2021
243,Jurong East St 24,04 to 06,67,New Generation,1983,61.08,295000,Jan 2021
243,Jurong East St 24,10 to 12,67,New Generation,1983,61.17,333000,Jan 2021
306,Jurong East St 32,01 to 03,70,New Generation,1983,61.83,275000,Jan 2021
20,Teban Gdns Rd,31 to 33,72,Model A,2013,91.75,388000,Jan 2021
23,Teban Gdns Rd,04 to 06,72,Model A,2013,91.67,340000,Jan 2021
36,Teban Gdns Rd,04 to 06,77,Improved,1977,55.5,265888,Jan 2021
57,Teban Gdns Rd,10 to 12,67,Model A,2016,94.92,360000,Jan 2021
57,Teban Gdns Rd,19 to 21,67,Model A,2016,94.92,361000,Jan 2021
57,Teban Gdns Rd,16 to 18,67,Model A,2016,94.92,365000,Jan 2021
57,Teban Gdns Rd,10 to 12,67,Model A,2016,94.83,375000,Jan 2021
57,Teban Gdns Rd,10 to 12,67,Model A,2016,94.92,380000,Jan 2021
206,Jurong East St 21,04 to 06,67,New Generation,1982,60.92,290000,Dec 2020
211,Jurong East St 21,04 to 06,67,New Generation,1983,61.42,290000,Dec 2020
229,Jurong East St 21,07 to 09,67,New Generation,1981,59.58,325000,Dec 2020
245,Jurong East St 24,07 to 09,67,New Generation,1982,60.67,310000,Dec 2020
264,Jurong East St 24,07 to 09,68,New Generation,1983,61.42,260000,Dec 2020
264,Jurong East St 24,10 to 12,68,New Generation,1983,61.33,320000,Dec 2020
303,Jurong East St 32,07 to 09,67,New Generation,1983,61.75,300000,Dec 2020
371,Jurong East St 32,16 to 18,64,Model A,2014,92.25,353000,Dec 2020
411,Pandan Gdns,07 to 09,72,Improved,1979,57.5,248000,Dec 2020
36,Teban Gdns Rd,01 to 03,74,Improved,1977,55.58,240000,Dec 2020
37,Teban Gdns Rd,01 to 03,67,Improved,1966,44.83,230000,Dec 2020
57,Teban Gdns Rd,07 to 09,67,Model A,2016,94.92,365000,Dec 2020
57,Teban Gdns Rd,22 to 24,67,Model A,2016,95,390000,Dec 2020
57,Teban Gdns Rd,31 to 33,67,Model A,2016,95,400000,Dec 2020
110,Jurong East St 13,10 to 12,68,New Generation,1982,60.42,328000,Nov 2020
207,Jurong East St 21,04 to 06,67,New Generation,1983,61.5,290000,Nov 2020
244,Jurong East St 24,07 to 09,67,New Generation,1983,61.42,299000,Nov 2020
250,Jurong East St 24,07 to 09,82,New Generation,1986,64.58,339000,Nov 2020
256,Jurong East St 24,01 to 03,67,New Generation,1985,63.67,295000,Nov 2020
313,Jurong East St 32,07 to 09,74,Model A,1984,62.5,298000,Nov 2020
371,Jurong East St 32,10 to 12,64,Model A,2014,92.42,351000,Nov 2020
372,Jurong East St 32,10 to 12,64,Model A,2014,92.25,368888,Nov 2020
411,Pandan Gdns,04 to 06,72,Improved,1979,57.5,270000,Nov 2020
20,Teban Gdns Rd,37 to 39,72,Model A,2013,91.92,428000,Nov 2020
33,Teban Gdns Rd,01 to 03,74,Improved,1977,55.58,248000,Nov 2020
57,Teban Gdns Rd,04 to 06,67,Model A,2016,95.08,338000,Nov 2020
57,Teban Gdns Rd,22 to 24,67,Model A,2016,95.08,380000,Nov 2020
